country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,6.88E+11,7.15E+11,7.44E+11,7.77E+11,8.15E+11,8.47E+11,8.63E+11,8.97E+11,9.24E+11,9.62E+11,9.93E+11,1.02E+12,1.06E+12,1.10E+12,1.12E+12,1.14E+12,1.17E+12,1.21E+12,1.24E+12,1.28E+12,1.31E+12,1.34E+12
Argentina,2.67E+11,2.82E+11,3.05E+11,3.16E+11,3.06E+11,3.03E+11,2.90E+11,2.58E+11,2.81E+11,3.06E+11,3.34E+11,3.60E+11,3.93E+11,4.09E+11,3.85E+11,4.24E+11,4.49E+11,4.44E+11,4.55E+11,4.44E+11,4.55E+11,4.45E+11
Brazil,1.39E+12,1.42E+12,1.47E+12,1.47E+12,1.48E+12,1.54E+12,1.56E+12,1.61E+12,1.63E+12,1.72E+12,1.77E+12,1.85E+12,1.96E+12,2.06E+12,2.05E+12,2.21E+12,2.30E+12,2.34E+12,2.41E+12,2.42E+12,2.33E+12,2.25E+12
Canada,1.10E+12,1.12E+12,1.17E+12,1.21E+12,1.28E+12,1.34E+12,1.37E+12,1.41E+12,1.43E+12,1.48E+12,1.52E+12,1.56E+12,1.60E+12,1.61E+12,1.57E+12,1.61E+12,1.66E+12,1.69E+12,1.74E+12,1.78E+12,1.80E+12,1.82E+12
China,1.48E+12,1.63E+12,1.78E+12,1.92E+12,2.06E+12,2.24E+12,2.42E+12,2.64E+12,2.91E+12,3.20E+12,3.57E+12,4.02E+12,4.60E+12,5.04E+12,5.51E+12,6.10E+12,6.68E+12,7.21E+12,7.77E+12,8.33E+12,8.91E+12,9.51E+12
France,2.03E+12,2.06E+12,2.11E+12,2.18E+12,2.26E+12,2.35E+12,2.39E+12,2.42E+12,2.44E+12,2.51E+12,2.55E+12,2.61E+12,2.67E+12,2.67E+12,2.60E+12,2.65E+12,2.70E+12,2.71E+12,2.72E+12,2.75E+12,2.78E+12,2.81E+12
Germany,2.84E+12,2.86E+12,2.92E+12,2.97E+12,3.03E+12,3.12E+12,3.18E+12,3.18E+12,3.15E+12,3.19E+12,3.21E+12,3.33E+12,3.44E+12,3.48E+12,3.28E+12,3.42E+12,3.54E+12,3.56E+12,3.58E+12,3.63E+12,3.70E+12,3.77E+12
India,5.98E+11,6.43E+11,6.69E+11,7.10E+11,7.73E+11,8.03E+11,8.41E+11,8.73E+11,9.42E+11,1.02E+12,1.11E+12,1.21E+12,1.33E+12,1.39E+12,1.50E+12,1.66E+12,1.77E+12,1.86E+12,1.98E+12,2.13E+12,2.30E+12,2.46E+12
Italy,1.87E+12,1.89E+12,1.92E+12,1.96E+12,1.99E+12,2.06E+12,2.10E+12,2.10E+12,2.11E+12,2.14E+12,2.16E+12,2.20E+12,2.23E+12,2.21E+12,2.09E+12,2.13E+12,2.14E+12,2.08E+12,2.04E+12,2.04E+12,2.06E+12,2.08E+12
Indonesia,4.37E+11,4.71E+11,4.94E+11,4.29E+11,4.32E+11,4.53E+11,4.70E+11,4.91E+11,5.15E+11,5.40E+11,5.71E+11,6.03E+11,6.41E+11,6.79E+11,7.11E+11,7.55E+11,8.02E+11,8.50E+11,8.97E+11,9.42E+11,9.88E+11,1.04E+12
