country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,7373.428246,7683.574065,8172.664323,8248.761989,7736.369623,7669.273916,7170.694674,2579.193168,3330.437006,4251.574348,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13467.10236,12449.21685
Australia,20384.66929,21944.15506,23551.22217,21365.98141,20561.47678,21690.921,19517.84168,20081.81763,23465.38559,30472.37977,34016.71483,36118.28381,40991.98289,49664.68504,42742.99898,51874.08048,62245.10029,67677.63477,67792.30386,62214.60912,56554.03876,49927.81951
Brazil,4840.787782,5156.805408,5271.411137,5075.631114,3469.503972,3739.119036,3146.950177,2819.649531,3059.587582,3623.047667,4770.182746,5860.145975,7313.557962,8787.610375,8553.38047,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731,8757.206202,8649.948492
Canada,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52413.72116,50440.43376,43315.70044,42157.92799
China,609.6567653,709.4134628,781.743728,828.5804103,873.2872953,959.3721081,1053.108024,1148.508057,1288.642924,1508.668462,1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487,5633.796106,6337.882993,7077.770594,7683.502038,8069.211938,8123.180873
Germany,31729.69976,30564.24781,27045.71913,27340.67288,26795.99113,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,47902.65288,41176.88158,41936.05858
France,27037.97213,27015.25896,24359.42506,25101.36874,24799.29601,22465.64184,22527.31775,24275.2426,29691.18158,33874.74255,34879.72633,36544.50853,41600.58397,45413.06571,41631.13141,40703.34279,43810.20088,40838.02444,42554.12205,42955.24287,36526.77011,36854.96828
Italy,20596.38865,23020.09914,21779.62444,22252.35771,21936.8226,20051.2426,20400.8109,22196.50736,27387.2258,31174.56118,31959.26215,33410.7482,37698.78573,40640.18465,36976.84512,35849.37364,38334.68477,34814.12436,35370.27441,35396.66517,30049.14755,30527.2682
India,370.1013553,396.0146123,411.3877208,409.1943859,437.5861178,438.8646304,447.0138966,466.2008042,541.1352279,621.3183767,707.008019,792.0259698,1018.166373,991.4846304,1090.317765,1345.770153,1461.671957,1446.98541,1452.195373,1573.118089,1613.188708,1709.387921
Indonesia,1026.270493,1137.332724,1063.712266,463.9685753,671.107022,780.0920744,747.9817455,899.5556857,1064.509447,1148.569096,1260.928834,1586.20504,1855.093915,2160.527606,2254.445606,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3336.106686,3570.294888
Japan,43440.36787,38436.92631,35021.71909,31902.7671,36026.55608,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38096.21151,34474.13736,38894.46773
Mexico,3655.597592,4153.147901,4939.823744,5079.972214,5777.231681,6720.902113,7031.378864,7106.082019,6751.998987,7199.059665,7986.798439,8767.920258,9330.341687,9689.052887,7748.123301,8959.581416,9834.472689,9820.532572,10298.86766,10452.27766,9143.128494,8201.306253
Turkey,2897.870208,3053.950828,3144.389453,4496.503169,4108.127878,4316.553895,3119.637106,3660.00507,4718.501291,6040.72953,7384.354661,8034.869161,9709.490246,10850.68975,9036.499911,10672.05693,11341.13395,11720.30843,12542.93565,12127.22522,10979.52569,10787.60934
Saudi Arabia,7650.739369,8293.220703,8508.518663,7382.160601,7968.548574,9126.954277,8643.494004,8655.311531,9567.458285,11138.80746,13739.82945,15334.66994,16472.16605,20037.83234,16094.2931,19259.58726,23770.74739,25303.09462,24934.38614,24575.40304,20732.86172,20028.64821
South Africa,3752.649192,3496.972929,3555.004676,3161.120278,3088.863784,3037.22503,2681.7081,2518.398261,3775.608275,4863.51688,5414.634326,5631.703485,6125.039984,5786.59972,5888.602084,7362.76139,8049.954224,7548.163698,6876.953821,6479.625659,5769.77258,5273.59388
United States,28782.17502,30068.23092,31572.69023,32949.19776,34620.9289,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48373.87882,49790.66548,51450.1223,52787.02695,54598.55069,56207.03675,57466.78711
United Kingdom,22755.56212,23947.95875,26357.52719,27759.33421,28154.37126,27769.93125,27284.22404,29603.46576,34007.88876,39824.76181,41524.06554,44016.72641,49949.15488,46523.26545,38010.10045,38709.91166,41240.42486,41538.30726,42407.37101,46412.11727,43929.69081,39899.38839
Russian Federation,2665.739722,2643.897696,2737.556662,1834.846937,1330.751464,1771.586602,2100.362386,2375.059044,2975.132778,4102.372294,5323.473877,6920.194398,9101.253085,11635.26037,8562.809598,10674.98771,14212.06087,15154.45687,15543.67653,14125.9061,9329.298351,8748.364504
South Korea,12332.97935,13137.90807,12131.8747,8085.323528,10409.32689,11947.57913,11252.90755,12782.52553,14209.38852,15907.66583,18639.52221,20888.38015,23060.70788,20430.63946,18291.9196,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27538.80613
