country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,5144,4564,4488,4524,4662,4441,4375,3728,3840,3952,4151,4280,4630,4600,4958,4906,4836,4776,5351,5536,5483,6164
Australia,12870,12712,12937,13571,14238,14197,14762,15394,15675,16321,16895,17800,18893,19582,21047,21306,21011,20275,20099,21814,24040,24371
Brazil,14919,13874,13779,14810,15172,16434,19036,19290,15389,15989,17301,17914,19320,20556,22414,24890,24110,24574,24708,25201,24618,22839
Canada,14235,13072,12046,12462,13000,12787,13126,13193,13436,13945,14558,15234,16609,17900,18717,16905,17477,16619,15362,15613,15317,15505
China,26232,27857,29879,32739,39829,43261,52216,60685,65543,72467,80197,92652,103670,113542,137512,144499,156009,169382,185152,200915,214093,225713
France,53557,52272,52451,51085,51517,50923,50768,51815,53372,54833,53714,53957,54164,53622,57240,54623,53288,52551,52419,53195,55342,55681
Germany,44416,43549,41966,42101,42959,42268,41573,41686,41117,39857,39237,38331,38364,39467,40958,41405,40221,41180,38803,38628,39813,40985
India,19351,19702,21810,22755,26445,27287,28238,28150,28779,33430,35576,35747,36179,41036,48315,48508,48978,48804,48445,50813,51295,55631
Indonesia,2840,3178,4177,2732,2076,2135,1898,2295,3091,3450,2997,3043,3659,3413,3567,4189,4802,5514,7413,6531,7639,7783
Italy,27137,29911,31364,32399,33669,35921,35330,36297,36591,36708,35311,34174,33114,34326,33363,32422,31815,29554,28388,26402,25295,27966
Japan,39793,40519,40857,40903,40685,40888,41604,41811,41864,41697,41622,41091,40557,40167,40919,41063,41616,41114,40940,41159,41103,41569
Mexico,3139,3332,3339,3443,3623,3739,3700,3579,3568,3437,3694,4018.7,4538,4543,5149,5615,5858,6432,6749,7464,7740,6893
Russian Federation,22803,21533,23540,14000,15548,20982,22679,25123,26338,27536,31293,34633,37698,41423,43458,44338,47321,54832,57500,61622,66419,70345
Saudi Arabia,20035,20002,27164,31375,27929,30782,32784,28781,28993,32232,38838,44243,50962,50018,51398,53494,54222,61352,70313,82527,87186,61358
South Africa,3007,2613,2402,2129,2040,2394,2677,2942,2907,2948,3230,3231,3156,3093,3238,3128,3241,3389,3467,3464,3460,3424
South Korea,20012,20294,20791,20065,19528,20728,21321,21908,22653,23648,25576,26498,27698,29510,31365,31620,32062,32876,33912,34954,36433,37265
Turkey,13326,14919,15544,16287,17983,17404,15955,16976,15321,13982,13237,14203,13656,13809,14777,14478,14619,14939,15310,15397,15881,14974
United Kingdom,49369,49074,47528,47792,47733,48981,50964,54265,58167,58846,59337,59720,61610,64360,65610,64230,61518,58896,56408,54938,53862,54217
United States,433733,410141,408020,398803,399787,415259,418631,470042,534984,583090,610898,620387,636674,683776,738621,758890,749533,706918,650851,610636,596010,606233
